jeu_100_25_4.txt_3_currentSA	jeu_100_25_4.txt_3_bestSA	jeu_100_25_4.txt_3_currentTS	jeu_100_25_4.txt_3_bestTS	jeu_100_25_4.txt_3_currentGrasp	jeu_100_25_4.txt_3_bestGrasp	jeu_100_25_4.txt_3_currentIG	jeu_100_25_4.txt_3_bestIG	
15672	16119	22079	23838	1045	24764	23183	25303	
15672	16119	22210	23838	1099	24764	23749	25303	
15672	16119	21906	23838	1394	24764	24386	25303	
15672	16119	22503	23838	1491	24764	24793	25303	
15672	16119	22270	23838	1598	24764	25303	25303	
15672	16119	22527	23838	1695	24764	25303	25303	
15672	16119	22351	23838	1972	24764	15382	25303	
15672	16119	22141	23838	2144	24764	15960	25303	
15672	16119	22086	23838	2555	24764	16406	25303	
15672	16119	22509	23838	2749	24764	17364	25303	
15672	16119	22167	23838	2986	24764	17962	25303	
15672	16119	22552	23838	3299	24764	18256	25303	
15678	16119	22210	23838	3577	24764	18639	25303	
15678	16119	22574	23838	3927	24764	19246	25303	
15678	16119	22243	23838	4166	24764	19850	25303	
15678	16119	22408	23838	4512	24764	20352	25303	
15678	16119	22613	23838	5028	24764	21023	25303	
16020	16119	22291	23838	5379	24764	21901	25303	
16020	16119	22455	23838	5951	24764	22358	25303	
16020	16119	22467	23838	6232	24764	22722	25303	
16020	16119	22469	23838	6315	24764	23127	25303	
16020	16119	22551	23838	6834	24764	23570	25303	
16020	16119	22672	23838	7307	24764	24053	25303	
16020	16119	22698	23838	7741	24764	24361	25303	
16020	16119	23275	23838	8162	24764	24703	25303	
16020	16119	23675	23838	8390	24764	25019	25303	
16020	16119	23511	23838	8867	24764	25367	25367	
16020	16119	23294	23838	9368	24764	25367	25367	
16020	16119	23046	23838	9916	24764	14199	25367	
16020	16119	23055	23838	10705	24764	14995	25367	
16020	16119	22762	23838	11244	24764	15448	25367	
16020	16119	23072	23838	11926	24764	15760	25367	
16020	16119	22833	23838	12585	24764	16533	25367	
16020	16119	22784	23838	13125	24764	17327	25367	
16020	16119	22580	23838	13741	24764	17921	25367	
16193	16193	22719	23838	14575	24764	18400	25367	
16193	16193	22753	23838	15225	24764	18681	25367	
16193	16193	22725	23838	15322	24764	19250	25367	
16193	16193	22739	23838	15410	24764	19717	25367	
16193	16193	22623	23838	15490	24764	20412	25367	
16193	16193	22349	23838	15651	24764	20951	25367	
16193	16193	22182	23838	15817	24764	21313	25367	
16193	16193	22146	23838	15946	24764	21717	25367	
16193	16193	22128	23838	16034	24764	22078	25367	
16193	16193	22132	23838	16145	24764	22375	25367	
16193	16193	22125	23838	16271	24764	22751	25367	
16193	16193	22040	23838	16453	24764	23147	25367	
16193	16193	21882	23838	16671	24764	23528	25367	
16307	16307	22106	23838	16886	24764	23799	25367	
15910	16307	22392	23838	17092	24764	24111	25367	
15910	16307	22057	23838	17282	24764	24368	25367	
15910	16307	22053	23838	17447	24764	24368	25367	
15910	16307	22031	23838	17661	24764	12344	25367	
15910	16307	21842	23838	17888	24764	12757	25367	
15910	16307	21769	23838	18114	24764	13274	25367	
15910	16307	22088	23838	18335	24764	13859	25367	
15910	16307	21770	23838	18613	24764	14385	25367	
15910	16307	21873	23838	18896	24764	15037	25367	
15910	16307	21786	23838	19106	24764	15887	25367	
15910	16307	21812	23838	19315	24764	16545	25367	
15910	16307	22379	23838	19565	24764	17250	25367	
15910	16307	22193	23838	19735	24764	17716	25367	
15910	16307	22214	23838	19887	24764	18606	25367	
